step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
102,9240,408,0.29025376225168653,0.25,0.25,,,,,
103,9340,412,0.20695965011043882,0.0,0.0,,,,,
104,9440,416,0.2162810658849048,0.0,0.0,,,,,
105,9508,420,0.33902222572523893,0.0,0.0,0.3751341704052902,0.0,0.0,,
106,9608,424,0.212910830888286,0.0,0.0,,,,,
107,9708,428,0.23606261857445743,0.0,0.0,,,,,
108,9808,432,0.21391761166101786,0.0,0.0,,,,,
109,9908,436,0.20555315366024537,0.0,0.0,,,,,
110,9976,440,0.36460890334866236,0.0,0.0,,,,,
111,10044,444,0.32921869868427156,0.0,0.0,,,,,
112,10144,448,0.21224363478540909,0.0,0.0,,,,,
113,10212,452,0.32357592752210623,0.0,0.0,0.3484478579809365,0.0,0.0,,
114,10312,456,0.22462712613970018,0.0,0.0,,,,,
115,10412,460,0.22048002569698535,0.0,0.0,,,,,
116,10512,464,0.22692909394890493,0.0,0.0,,,,,
117,10580,468,0.31591646987857525,0.0,0.0,,,,,
118,10648,472,0.3253219414180239,0.0,0.0,,,,,
119,10748,476,0.1956253348835162,0.0,0.0,,,,,
120,10848,480,0.22848013338688666,0.0,0.0,,,,,
121,10948,484,0.22055791880819017,0.0,0.0,0.33764528840882124,0.0,0.0,,
122,11048,488,0.19439282346685408,0.0,0.0,,,,,
123,11148,492,0.24236108660935618,0.0,0.0,,,,,
124,11216,496,0.3184042593557388,0.0,0.0,,,,,
125,11284,500,0.34903224704576136,0.0,0.0,,,,,
126,11384,504,0.19402412012917922,0.0,0.0,,,,,
127,11484,508,0.22057409060551436,0.0,0.0,,,,,
128,11584,512,0.17714386179150707,0.25,0.25,,,,,
129,11684,516,0.23834829814518646,0.0,0.0,0.24349391482275679,0.25,0.25,,
130,11784,520,0.19067692956673757,0.0,0.0,,,,,
131,11852,524,0.3344691617417266,0.0,0.0,,,,,
132,11920,528,0.3420557349639421,0.0,0.0,,,,,
133,12020,532,0.1948297688310655,0.0,0.0,,,,,
134,12120,536,0.22581255364524014,0.0,0.0,,,,,
135,12188,540,0.30848080039064374,0.0,0.0,,,,,
136,12288,544,0.21870966741252537,0.0,0.0,,,,,
137,12356,548,0.3164727528262301,0.0,0.0,0.2853005359860981,0.25,0.25,,
138,12456,552,0.1895534462120971,0.0,0.0,,,,,
139,12556,556,0.19255942367157938,0.0,0.0,,,,,
140,12656,560,0.16995864033184868,0.0,0.0,,,,,
141,12756,564,0.22136386555929974,0.25,0.25,,,,,
142,12824,568,0.29454447809439444,0.0,0.0,,,,,
143,12924,572,0.21959087425120136,0.0,0.0,,,,,
144,12992,576,0.28650943714937965,0.25,0.25,,,,,
145,13060,580,0.26517955347286265,0.0,0.0,0.27376238111208295,0.0,0.0,,
146,13128,584,0.39144480394081715,0.0,0.0,,,,,
147,13228,588,0.25764612086710265,0.0,0.0,,,,,
148,13360,592,0.16549627383651572,0.0,0.0,,,,,
149,13428,596,0.2671952238816448,0.0,0.0,,,,,
150,13496,600,0.2262324779613118,0.25,0.25,,,,,
151,13596,604,0.17920860783374037,0.0,0.0,,,,,
152,13664,608,0.31209117288339255,0.0,0.0,,,,,
153,13732,612,0.2561578798209666,0.25,0.25,0.3179590244257088,0.0,0.0,,
154,13864,616,0.16714286168424225,0.0,0.0,,,,,
155,13932,620,0.22381736203011315,0.25,0.25,,,,,
156,14000,624,0.2532625427550238,0.0,0.0,,,,,
157,14100,628,0.2192587788736758,0.0,0.0,,,,,
158,14168,632,0.21429468708005517,0.25,0.25,,,,,
159,14236,636,0.3326385101930373,0.0,0.0,,,,,
160,14336,640,0.17176955782765313,0.25,0.25,,,,,
161,14436,644,0.2033901461588357,0.0,0.0,0.24155951360145078,0.25,0.25,,
162,14536,648,0.22086251087874798,0.0,0.0,,,,,
163,14636,652,0.157721320584357,0.5,0.5,,,,,
164,14704,656,0.25025263633089706,0.0,0.0,,,,,
165,14804,660,0.16701467207173057,0.5,0.5,,,,,
166,14872,664,0.1624890980429518,0.5,0.5,,,,,
167,14940,668,0.26230213444139505,0.5,0.5,,,,,
168,15040,672,0.13912449386310982,0.25,0.25,,,,,
169,15140,676,0.18300207426694212,0.25,0.25,0.25920696077138017,0.0,0.0,,
170,15208,680,0.2697064356779447,0.25,0.25,,,,,
171,15308,684,0.21350280680265013,0.0,0.0,,,,,
172,15408,688,0.1681074768463411,0.25,0.25,,,,,
173,15476,692,0.234079770463145,0.25,0.25,,,,,
174,15576,696,0.221388447262046,0.0,0.0,,,,,
175,15676,700,0.18961589205820015,0.25,0.25,,,,,
176,15744,704,0.30299653668053905,0.0,0.0,,,,,
177,15844,708,0.2600840683206358,0.0,0.0,0.25403749218507077,0.0,0.0,,
178,15912,712,0.24096542401825444,0.5,0.5,,,,,
179,16012,716,0.1776326861979457,0.25,0.25,,,,,
180,16080,720,0.239773990040685,0.25,0.25,,,,,
181,16148,724,0.2598031120064752,0.25,0.25,,,,,
182,16248,728,0.21842500107816398,0.25,0.25,,,,,
183,16316,732,0.16974696180834145,0.75,0.75,,,,,
184,16384,736,0.18088687380713736,0.25,0.25,,,,,
185,16484,740,0.16882847857382333,0.25,0.25,0.15870471407191722,0.0,0.0,,
186,16552,744,0.18534438098972258,0.25,0.25,,,,,
187,16620,748,0.3201568990132949,0.25,0.25,,,,,
