step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,420,4,1.513329731436801,0.0,0.4076086956521739
2,872,8,1.3817800951220804,0.0,0.4564102564102564
3,1292,12,1.8055837596162592,0.0,0.4393305439330544
4,1808,16,2.064559255062671,0.0,0.4
5,2356,20,1.6942103062048879,0.0,0.48494983277591974
6,2648,24,1.925906618527501,0.0,0.45652173913043476
7,2972,28,2.389128428429289,0.0,0.4036697247706422
8,3296,32,1.7780263361265014,0.0,0.44148936170212766
9,3684,36,1.6089777454209677,0.0,0.4322916666666667
10,4072,40,1.868256690982742,0.0,0.43946188340807174
11,4300,44,2.14335939351337,0.0,0.45185185185185184
12,4848,48,1.5165438463724883,0.0,0.5073746312684366
13,5204,52,1.683040685779835,0.0,0.47619047619047616
14,5560,56,1.8800951414897675,0.0,0.3655913978494624
15,5916,60,1.791304828793394,0.0,0.413265306122449
16,6272,64,1.8062211563196036,0.0,0.4343891402714932
17,6756,68,1.7343975724593828,0.0,0.4409722222222222
18,7144,72,1.6011332788268131,0.0,0.4010152284263959
19,7564,76,1.5521151257401204,0.0,0.4104803493449782
20,7888,80,1.682493504882046,0.0,0.4171779141104294
21,8244,84,1.5639061951574695,0.0,0.44086021505376344
22,8568,88,2.0198180035253896,0.0,0.4205607476635514
23,8924,92,1.5991056777907695,0.0,0.4512820512820513
24,9408,96,1.7321272799161624,0.0,0.42574257425742573
25,9796,100,1.4024671161985445,0.0,0.5024154589371981
26,10152,104,1.243133484144928,0.0,0.4887640449438202
27,10508,108,1.2526569495305144,0.0,0.5855855855855856
28,10864,112,1.5719051628967051,0.0,0.45933014354066987
29,11156,116,1.6534673232374069,0.0,0.36
30,11544,120,1.7098044016464975,0.0,0.48
31,11836,124,1.4063439042510233,0.0,0.5287958115183246
32,12256,128,1.3780624989571406,0.0,0.43724696356275305
33,12708,132,1.3565241187821007,0.0,0.4875
34,13064,136,1.7303345226287754,0.0,0.42290748898678415
35,13420,140,1.4588156655968982,0.0,0.4857142857142857
36,13712,144,1.8340983158816806,0.0,0.38372093023255816
37,14100,148,1.15682782367076,0.0,0.46405228758169936
